Question ID,Question Text,Answer Text,Score: Love,Score: Duty,Score: Honor,Score: Reason
Q1,"You should always help those you love, even if it means breaking a promise.",Strongly Agree,2,0,0,0
Q1,,Agree,1,0,0,0
Q1,,Neutral,0,0,0,0
Q1,,Disagree,0,1,0,0
Q1,,Strongly Disagree,0,2,0,0
Q2,Dying for one’s beliefs is more important than living in shame.,Strongly Agree,0,0,0,2
Q2,,Agree,0,0,0,1
Q2,,Neutral,0,0,0,0
Q2,,Disagree,0,0,1,0
Q2,,Strongly Disagree,0,0,2,0
Q3,"If the only way to defeat a great evil requires sacrificing your best friend or love, would you do it?","No, even if they wanted me to",3,0,0,0
Q3,,Not unless they really wanted me to,1,0,0,0
Q3,,"I wouldn't stop them if they sacrificed themself, but I wouldn't be able to sacrifice them",0,0,0,0
Q3,,"Yes, if it's the only way",2,0,0,0
Q4,You follow your heart more than your obligations.,Strongly Agree,2,0,0,0
Q4,,Agree,1,0,0,0
Q4,,Neutral,0,0,0,0
Q4,,Disagree,0,1,0,0
Q4,,Strongly Disagree,0,2,0,0
Q5,Keeping your word matters more than how much good it does.,Strongly Agree,0,0,2,0
Q5,,Agree,0,0,1,0
Q5,,Neutral,0,0,0,0
Q5,,Disagree,0,1,0,1
Q5,,Strongly Disagree,0,2,0,2
Q6,You stand by your principals at all cost,"Yes, even if it costs you everything",0,0,3,0
Q6,,"Yes, even when the alternative is tempting",0,0,1,0
Q6,,Not if it impacts the people around you negatively,0,0,0,1
Q6,,Focus on concrete outcomes not abstract principals,0,0,0,2
Q6,,Only hold onto principals when convinient,0,0,0,3
Q7,Obligations made to others are more important than your own goals or desires,Strongly Agree,0,2,1,0
Q7,,Agree,0,1,0.5,0
Q7,,Neutral,0,0,0,0
Q7,,Disagree,0.5,0,0,1
Q7,,Strongly Disagree,1,0,0,2
Q8,"If apologizing if the best way to move forward, even if the fault wasn't yours, then that is the best course of action",Strongly Agree,0,0,0,2
Q8,,Agree,0,0,0,1
Q8,,Neutral,0,0,0,0
Q8,,Disagree,0,0,1,0
Q8,,Strongly Disagree,0,0,2,0
Q9,You'd rather hurt a stranger than someone you care about,Strongly Agree,0,1,0,0
Q9,,Agree,0,0.5,0,0
Q9,,Neutral,0,2,0,1
Q9,,Disagree,1,0,0,0
Q9,,Strongly Disagree,2,0,0,0
Q10,You are more likely to listen to someone you like than someone you agree with,Strongly Agree,2,1,0,0
Q10,,Agree,1,0.5,0,0
Q10,,Neutral,0,0,0,0
Q10,,Disagree,0,0,0,1
Q10,,Strongly Disagree,0,0,0,2
