Question ID,Question Text,Answer Text,Score: Love,Score: Duty,Score: Honor,Score: Reason
1,"You should always help those you love, even if it means going back on an important promise",Strongly Agree,2,0,0,0
1,,Agree,1,0,0,0
1,,Neutral,0,0,0,0
1,,Disagree,0,1,0,0
1,,Strongly Disagree,0,2,1,0
2,Dying for one’s beliefs is more important than living in shame.,Strongly Agree,0,0,0,2
2,,Agree,0,0,0,1
2,,Neutral,0,0,0,0
2,,Disagree,0,0,1,0
2,,Strongly Disagree,0,0,2,0
3,"If the only way to defeat a great evil requires sacrificing your best friend or love, would you do it?","No, even if they wanted me to",3,0,0,0
3,,Not unless they really wanted me to,1,0,0,0
3,,"I wouldn't stop them if they sacrificed themself, but I wouldn't be able to sacrifice them",0,0,0,0
3,,"Yes, if it's the only way",2,0,0,0
4,You follow your heart more than your commitments.,Strongly Agree,2,0,0,0
4,,Agree,1,0,0,0
4,,Neutral,0,0,0,0
4,,Disagree,0,1,0,0
4,,Strongly Disagree,0,2,0,0
5,Keeping your word matters more than how much good it does.,Strongly Agree,0,1,2,0
5,,Agree,0,1,1,0
5,,Neutral,0,0,0,0
5,,Disagree,0,0,0,1
5,,Strongly Disagree,0,0,0,2
6,You stand by your principles at all cost,"Yes, even if it costs you everything",0,0,3,0
6,,"Yes, even when the alternative is tempting",0,0,1,0
6,,Not if it impacts the people around you negatively,2,1,0,1
6,,Focus on concrete outcomes not abstract principles,0,0,0,2
6,,Only hold onto principles when convinient,0,0,0,3
7,Obligations made to others are more important than your own goals or desires,Strongly Agree,0,2,1,0
7,,Agree,0,1,0.5,0
7,,Neutral,0,0,0,0
7,,Disagree,0.5,0,0,1
7,,Strongly Disagree,1,0,0,2
8,"If apologizing if the best way to move forward, even if the fault wasn't yours, then that is the best course of action",Strongly Agree,0,0,0,2
8,,Agree,0,0,0,1
8,,Neutral,0,0,0,0
8,,Disagree,0,0,1,0
8,,Strongly Disagree,0,0,2,0
9,You'd rather hurt a stranger than someone you care about,Strongly Agree,0,1,0,0
9,,Agree,0,0.5,0,0
9,,Neutral,0,2,0,0
9,,Disagree,1,0,0,0
9,,Strongly Disagree,2,0,0,0
10,You are more likely to listen to someone you like than someone you agree with,Strongly Agree,2,1,0,0
10,,Agree,1,0.5,0,0
10,,Neutral,0,0,0,0
10,,Disagree,0,0,0,1
10,,Strongly Disagree,0,0,0,2
11,"You feel strongly about abstract concepts like art, romance, or freedom",Strongly Agree,2,0,3,0
11,,Agree,1,0,2,0
11,,Neutral,0,0,0,0
11,,Disagree,0,0,0,1
11,,Strongly Disagree,0,1,0,2
12,"If you found out you had an commitment that kept you away from someone you love, would you uphold it?",Of course,0,2,1,0
12,,"Yes, but it would be difficult",0,1,0.5,0
12,,I would try extremely hard to get out of it and only uphold it if I absolutely cannot,0,0.5,0,1
12,,I wouldn't but I would feel very guilty,1,0,0,0
12,,"No, I have a greater obligation to my love",2,0,0,0
13,Someone you care about is leading a group that you are both part of down a path that you believe is too risky; you've raised concerns in private and they are not taking your advice. What do you do?,Publically stand against them,0,1,2,0
13,,Publically support them while continuing to discuss your concerns in private,2,0,1,0
13,,"Actively work against them, even if it negatively impacts the person you care about",0,2,0,0
13,,Minimize your involvement,1,1,0,1
13,,Knowingly let someone else work against them,0,1,-1,2
14,"You’re offered a very lucrative deal to fund your creative work, but the patron wants to shape your message and make edits. Do you accept?","Yes, it's still my work, I'd be a fool not to take it",0,0,0,2
14,,Only if I also have some influence on the message and final product ,0,0.5,1,1
14,,"Yes, I can use the money to promote my own work and message later",0,0,0,0
14,,"No, this would destroy my artistic integrity ",0,0,3,0
14,,"If I agree with the message then yes, otherwise no",0,1,0,0
15,You would keep a secret from someone you loved if a cause you care about requires it,Strongly Agree,0,2,0,0
15,,Agree,0,1,0,1
15,,Neutral,0,0,0,0
15,,Disagree,1,0,0,0
15,,Strongly Disagree,2,0,1,0
16,You find it easy to do things that your family doesn't support,"Yes, if it's for someone I care about",1,0,0,0
16,,"Yes, if it makes sense to do",0,0,0,1
16,,"Yes, if it's for what I believe in",0,2,1,0
16,,"No, It would be a difficult decision",0,2,0,0
16,,"No, I would feel very guilty",0,2,0,0
17,Why is keeping a promise important to you?,I owe it to the person I made it to,1,1,0,0
17,,It's the right thing to do,0,0,1,0
17,,You might not be trusted if you're known to go back on your word,0,0,0,1
17,,I care about the person I made it to,2,0,1,0
17,,I would feel guilty if I went back on my word,0,0,0,0
18,You feel a strong sense of obligation to people you love,Strongly Agree,0,4,0,0
18,,Agree,0,3,0,0
18,,Neutral,1,0,0,0
18,,Disagree,1,0,0,0
18,,Strongly Disagree,1,0,0,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,40.5,45,32,35
